,exchange,ts_code,symbol,freq,trade_time,open,close,high,low,vol,is_contract
0,okex,BTC_USDT,BTC-USDT,60min,2021-05-25 00:00:00,38817.0,39392.9,39795.3,38515.0,1717.02333299,N
1,okex,BTC_USDT,BTC-USDT,60min,2021-05-24 23:00:00,38426.9,38809.0,38903.9,38230.1,430.97333211,N
2,okex,BTC_USDT,BTC-USDT,60min,2021-05-24 22:00:00,38466.3,38422.3,38873.9,37969.4,785.22638528,N
3,okex,BTC_USDT,BTC-USDT,60min,2021-05-24 21:00:00,38958.6,38471.6,39298.1,38309.7,625.57871329,N
4,okex,BTC_USDT,BTC-USDT,60min,2021-05-24 20:00:00,39604.4,38960.5,39933.0,38726.5,1199.95644858,N
5,okex,BTC_USDT,BTC-USDT,60min,2021-05-24 19:00:00,37916.9,39595.9,39789.0,37781.6,2748.79580191,N
6,okex,BTC_USDT,BTC-USDT,60min,2021-05-24 18:00:00,37689.2,37918.8,38362.5,37420.1,1125.29148766,N
7,okex,BTC_USDT,BTC-USDT,60min,2021-05-24 17:00:00,37368.5,37691.9,37898.6,37202.7,732.19102917,N
8,okex,BTC_USDT,BTC-USDT,60min,2021-05-24 16:00:00,37542.7,37366.3,37968.1,36837.6,1449.0538039,N
9,okex,BTC_USDT,BTC-USDT,60min,2021-05-24 15:00:00,37665.4,37545.5,38193.0,37300.0,1080.21396144,N
10,okex,BTC_USDT,BTC-USDT,60min,2021-05-24 14:00:00,37580.7,37665.4,38048.4,37316.0,1117.04052749,N
11,okex,BTC_USDT,BTC-USDT,60min,2021-05-24 13:00:00,38222.2,37573.0,38424.7,37406.5,1511.62251346,N
12,okex,BTC_USDT,BTC-USDT,60min,2021-05-24 12:00:00,37594.1,38222.1,38649.0,37386.2,1898.16651058,N
13,okex,BTC_USDT,BTC-USDT,60min,2021-05-24 11:00:00,36430.2,37595.5,37920.8,36415.0,1821.71489961,N
14,okex,BTC_USDT,BTC-USDT,60min,2021-05-24 10:00:00,36212.7,36431.8,36691.8,35882.8,1084.75363575,N
15,okex,BTC_USDT,BTC-USDT,60min,2021-05-24 09:00:00,36626.9,36211.0,36626.9,36187.2,610.93788889,N
16,okex,BTC_USDT,BTC-USDT,60min,2021-05-24 08:00:00,36648.6,36623.5,36857.8,36168.0,1427.49267012,N
17,okex,BTC_USDT,BTC-USDT,60min,2021-05-24 07:00:00,36090.9,36648.6,36888.0,36090.8,1415.16670916,N
18,okex,BTC_USDT,BTC-USDT,60min,2021-05-24 06:00:00,35302.6,36090.8,36246.9,35011.4,1113.477756,N
19,okex,BTC_USDT,BTC-USDT,60min,2021-05-24 05:00:00,34880.6,35305.8,35484.7,34754.4,2940.99409862,N
20,okex,BTC_USDT,BTC-USDT,60min,2021-05-24 04:00:00,35248.4,34880.6,35416.7,34358.9,886.15376762,N
21,okex,BTC_USDT,BTC-USDT,60min,2021-05-24 03:00:00,35272.0,35251.6,35898.6,35112.4,899.27990959,N
22,okex,BTC_USDT,BTC-USDT,60min,2021-05-24 02:00:00,35092.7,35270.2,35459.3,34814.1,1032.99311647,N
23,okex,BTC_USDT,BTC-USDT,60min,2021-05-24 01:00:00,35198.0,35092.6,35548.7,34700.0,1939.18412546,N
24,okex,BTC_USDT,BTC-USDT,60min,2021-05-24 00:00:00,34684.8,35198.9,35727.3,34671.5,3481.13098319,N
25,okex,BTC_USDT,BTC-USDT,60min,2021-05-23 23:00:00,33838.5,34690.7,34997.9,33834.7,1487.63014266,N
26,okex,BTC_USDT,BTC-USDT,60min,2021-05-23 22:00:00,34011.4,33837.1,34873.5,33592.2,1514.9106102,N
