,exchange,ts_code,symbol,freq,trade_time,open,close,high,low,vol,is_contract
0,okex,BTC_USDT,BTC-USDT-210528,60min,2021/5/16 0:00,46852.4,47397.9,47821,46526.4,45087,Y
1,okex,BTC_USDT,BTC-USDT-210924,60min,2021/5/16 0:00,49261.3,50022.3,50374.4,48885.9,100197,Y
2,okex,BTC_USDT,BTC-USDT-210625,60min,2021/5/16 0:00,47439.9,48032.1,48481.9,47090.6,237126,Y
3,okex,BTC_USDT,BTC-USDT-SWAP,60min,2021/5/16 0:00,46765.3,47284.1,47726.8,46359.4,336618,Y
4,okex,BTC_USDT,BTC-USDT-210521,60min,2021/5/16 0:00,46806,47311.6,47750.2,46492.8,103780,Y
5,okex,BTC_USDT,BTC-USDT-SWAP,60min,2021/5/15 23:00,47987.1,46779.1,48058.3,46561.1,325474,Y
6,okex,BTC_USDT,BTC-USDT-210625,60min,2021/5/15 23:00,48757.4,47438.1,48834.4,47207.7,230775,Y
7,okex,BTC_USDT,BTC-USDT-210521,60min,2021/5/15 23:00,48036.6,46806.9,48111.1,46603.9,81696,Y
8,okex,BTC_USDT,BTC-USDT-210924,60min,2021/5/15 23:00,50716.1,49263.1,50799.9,49046.1,69135,Y
9,okex,BTC_USDT,BTC-USDT-210528,60min,2021/5/15 23:00,48103.2,46829.9,48178.4,46660.1,38760,Y
10,okex,BTC_USDT,BTC-USDT-210924,60min,2021/5/15 22:00,51212.2,50737.8,51507.9,50472,34970,Y
11,okex,BTC_USDT,BTC-USDT-210625,60min,2021/5/15 22:00,49200.6,48743.8,49489.3,48480,122051,Y
12,okex,BTC_USDT,BTC-USDT-SWAP,60min,2021/5/15 22:00,48440.9,47981.5,48727.6,47767.1,144346,Y
13,okex,BTC_USDT,BTC-USDT-210528,60min,2021/5/15 22:00,48504.2,48097,48798.9,47873.5,18383,Y
14,okex,BTC_USDT,BTC-USDT-210521,60min,2021/5/15 22:00,48459.8,48053,48730,47813.1,35736,Y
15,okex,BTC_USDT,BTC-USDT-210625,60min,2021/5/15 21:00,48935.6,49198.8,49538.5,48925.1,142060,Y
16,okex,BTC_USDT,BTC-USDT-210924,60min,2021/5/15 21:00,50980.3,51231.6,51577.6,50967.8,26060,Y
17,okex,BTC_USDT,BTC-USDT-210528,60min,2021/5/15 21:00,48300.2,48512.8,48865.7,48281.6,13976,Y
18,okex,BTC_USDT,BTC-USDT-210521,60min,2021/5/15 21:00,48257.8,48447.4,48774.1,48251.4,26039,Y
19,okex,BTC_USDT,BTC-USDT-SWAP,60min,2021/5/15 21:00,48245.2,48440.9,48750,48237.8,50518,Y
20,okex,BTC_USDT,BTC-USDT-210521,60min,2021/5/15 20:00,48124.9,48258.1,48624.5,48059.5,39089,Y
21,okex,BTC_USDT,BTC-USDT-210924,60min,2021/5/15 20:00,50876.6,50976.5,51472.8,50820,42310,Y
22,okex,BTC_USDT,BTC-USDT-210625,60min,2021/5/15 20:00,48852.6,48935.6,49371.2,48759.8,187578,Y
23,okex,BTC_USDT,BTC-USDT-SWAP,60min,2021/5/15 20:00,48133.9,48245.2,48632.5,48049.1,98594,Y
24,okex,BTC_USDT,BTC-USDT-210528,60min,2021/5/15 20:00,48197.1,48304.1,48691.4,48160.8,20188,Y
25,okex,BTC_USDT,BTC-USDT-210625,60min,2021/5/15 19:00,48607.9,48826.1,48846.9,47550,195342,Y
26,okex,BTC_USDT,BTC-USDT-210528,60min,2021/5/15 19:00,47958.2,48199.6,48205.2,46939.6,41570,Y
27,okex,BTC_USDT,BTC-USDT-210521,60min,2021/5/15 19:00,47924.9,48106.1,48127.4,46918.9,81020,Y
28,okex,BTC_USDT,BTC-USDT-SWAP,60min,2021/5/15 19:00,47902,48123.5,48131.2,46869.7,275845,Y
29,okex,BTC_USDT,BTC-USDT-210924,60min,2021/5/15 19:00,50627.4,50879.9,50890.6,49506.1,69937,Y
30,okex,BTC_USDT,BTC-USDT-210924,60min,2021/5/15 18:00,50544.2,50615.7,50970.3,50210.4,38427,Y
