,exchange,ts_code,symbol,freq,trade_time,open,close,high,low,vol,is_contract
0,binance,ETH_USDT,ETHUSDT,60min,2021-05-25 00:00:00,2647.92,2711.37,2750.0,2597.99,119075.74531,N
1,binance,ETH_USDT,ETHUSDT,60min,2021-05-24 23:00:00,2588.92,2648.43,2656.73,2573.13,50859.78662,N
2,binance,ETH_USDT,ETHUSDT,60min,2021-05-24 22:00:00,2593.01,2588.66,2647.37,2529.07,80420.77239,N
3,binance,ETH_USDT,ETHUSDT,60min,2021-05-24 21:00:00,2620.28,2593.14,2670.0,2584.52,65367.71371,N
4,binance,ETH_USDT,ETHUSDT,60min,2021-05-24 20:00:00,2651.42,2620.16,2675.0,2553.86,98041.67061,N
5,binance,ETH_USDT,ETHUSDT,60min,2021-05-24 19:00:00,2553.0,2650.86,2663.58,2521.16,97433.0142,N
6,binance,ETH_USDT,ETHUSDT,60min,2021-05-24 18:00:00,2543.86,2552.95,2600.0,2520.51,82842.37125,N
7,binance,ETH_USDT,ETHUSDT,60min,2021-05-24 17:00:00,2467.99,2543.97,2546.5,2435.21,77686.21817,N
8,binance,ETH_USDT,ETHUSDT,60min,2021-05-24 16:00:00,2509.61,2467.99,2559.58,2416.1,121365.2073,N
9,binance,ETH_USDT,ETHUSDT,60min,2021-05-24 15:00:00,2425.69,2509.07,2529.87,2403.33,118224.4937,N
10,binance,ETH_USDT,ETHUSDT,60min,2021-05-24 14:00:00,2373.73,2425.69,2474.0,2373.5,116683.88574,N
11,binance,ETH_USDT,ETHUSDT,60min,2021-05-24 13:00:00,2423.39,2373.48,2443.13,2332.64,132403.22024,N
12,binance,ETH_USDT,ETHUSDT,60min,2021-05-24 12:00:00,2367.66,2423.19,2468.0,2341.16,133509.31591,N
13,binance,ETH_USDT,ETHUSDT,60min,2021-05-24 11:00:00,2262.09,2367.74,2377.13,2256.0,131964.31807,N
14,binance,ETH_USDT,ETHUSDT,60min,2021-05-24 10:00:00,2230.94,2262.33,2278.99,2221.19,79894.37212,N
15,binance,ETH_USDT,ETHUSDT,60min,2021-05-24 09:00:00,2291.2,2231.12,2291.21,2229.8,73191.53127,N
16,binance,ETH_USDT,ETHUSDT,60min,2021-05-24 08:00:00,2291.44,2291.2,2318.62,2239.07,118851.9519,N
17,binance,ETH_USDT,ETHUSDT,60min,2021-05-24 07:00:00,2187.4,2291.1,2297.0,2187.4,144162.11357,N
18,binance,ETH_USDT,ETHUSDT,60min,2021-05-24 06:00:00,2133.15,2187.82,2190.0,2105.66,57368.73738,N
19,binance,ETH_USDT,ETHUSDT,60min,2021-05-24 05:00:00,2104.11,2133.16,2156.0,2096.59,47045.27416,N
