,exchange,ts_code,symbol,freq,trade_time,open,close,high,low,vol,is_contract
0,okex,ETH_USDT,ETH-USDT,60min,2021-05-25 00:00:00,2648.44,2711.35,2750.13,2616.0,18745.808651,N
1,okex,ETH_USDT,ETH-USDT,60min,2021-05-24 23:00:00,2587.97,2648.0,2656.18,2574.18,9614.959129,N
2,okex,ETH_USDT,ETH-USDT,60min,2021-05-24 22:00:00,2593.31,2587.8,2647.26,2530.62,12181.257573,N
3,okex,ETH_USDT,ETH-USDT,60min,2021-05-24 21:00:00,2620.0,2592.56,2671.09,2584.1,8758.168585,N
4,okex,ETH_USDT,ETH-USDT,60min,2021-05-24 20:00:00,2651.18,2619.95,2680.0,2561.28,13214.799744,N
5,okex,ETH_USDT,ETH-USDT,60min,2021-05-24 19:00:00,2552.26,2650.24,2662.53,2521.13,14553.245618,N
6,okex,ETH_USDT,ETH-USDT,60min,2021-05-24 18:00:00,2544.2,2553.0,2598.95,2521.44,13196.368897,N
7,okex,ETH_USDT,ETH-USDT,60min,2021-05-24 17:00:00,2467.89,2544.66,2548.88,2436.12,11975.993619,N
8,okex,ETH_USDT,ETH-USDT,60min,2021-05-24 16:00:00,2509.35,2468.1,2560.0,2416.09,19392.358044,N
9,okex,ETH_USDT,ETH-USDT,60min,2021-05-24 15:00:00,2425.66,2508.74,2529.39,2402.47,15231.897344,N
10,okex,ETH_USDT,ETH-USDT,60min,2021-05-24 14:00:00,2373.53,2425.31,2474.41,2373.25,21016.767155,N
11,okex,ETH_USDT,ETH-USDT,60min,2021-05-24 13:00:00,2424.02,2373.56,2442.06,2337.8,17491.725868,N
12,okex,ETH_USDT,ETH-USDT,60min,2021-05-24 12:00:00,2366.95,2422.84,2469.0,2341.21,21738.53981,N
13,okex,ETH_USDT,ETH-USDT,60min,2021-05-24 11:00:00,2262.92,2367.31,2376.82,2255.98,20075.331029,N
14,okex,ETH_USDT,ETH-USDT,60min,2021-05-24 10:00:00,2231.0,2262.89,2278.11,2223.76,8672.421758,N
15,okex,ETH_USDT,ETH-USDT,60min,2021-05-24 09:00:00,2290.47,2231.13,2290.68,2230.38,8042.386027,N
16,okex,ETH_USDT,ETH-USDT,60min,2021-05-24 08:00:00,2289.84,2290.47,2317.84,2242.88,18080.579891,N
17,okex,ETH_USDT,ETH-USDT,60min,2021-05-24 07:00:00,2186.9,2290.02,2297.23,2186.9,21016.611252,N
